epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16269.7,1.23684,2.13938,1.38018,0.57803,0.64233,0.59203,0.35563,1.45516,2.16995,1.36721,0.00955072,0.00955072,0.00955072
43,16652.6,1.27742,2.21806,1.39949,0.62061,0.55892,0.5604,0.35543,1.48599,2.25764,1.38462,0.00952889,0.00952889,0.00952889
44,17031.4,1.25842,2.17712,1.38586,0.57081,0.62026,0.6327,0.38453,1.36916,2.06602,1.32225,0.00950658,0.00950658,0.00950658
45,17412.2,1.25503,2.14622,1.38239,0.54381,0.5752,0.55438,0.29605,1.60347,2.46941,1.43063,0.00948377,0.00948377,0.00948377
46,17802.3,1.23331,2.1258,1.35626,0.41114,0.62287,0.58176,0.30865,1.47749,2.41484,1.38299,0.00946048,0.00946048,0.00946048
47,18190.9,1.23594,2.11452,1.34758,0.60866,0.60043,0.63327,0.38618,1.40895,2.16353,1.35888,0.00943671,0.00943671,0.00943671
48,18561.6,1.22309,2.08747,1.3566,0.57464,0.62886,0.63424,0.38489,1.39689,2.12385,1.3117,0.00941245,0.00941245,0.00941245
49,18939.1,1.22291,2.07815,1.35022,0.58319,0.6002,0.60795,0.37756,1.40626,2.16511,1.32916,0.00938772,0.00938772,0.00938772
50,19336.8,1.21968,2.08119,1.3426,0.60218,0.64332,0.65653,0.39105,1.36933,2.16882,1.31751,0.00936251,0.00936251,0.00936251
51,19738.9,1.20044,2.06388,1.33613,0.53546,0.64206,0.61233,0.3865,1.44808,2.04082,1.35637,0.00933683,0.00933683,0.00933683
52,20139.5,1.2024,2.06054,1.34638,0.57628,0.57494,0.59261,0.38739,1.36274,2.04878,1.28881,0.00931067,0.00931067,0.00931067
53,20540.8,1.20178,2.02946,1.3353,0.6145,0.62913,0.63419,0.39074,1.37289,2.13318,1.30932,0.00928405,0.00928405,0.00928405
54,20939.1,1.22202,2.0433,1.3282,0.63791,0.61508,0.63976,0.38905,1.44246,2.11593,1.35141,0.00925697,0.00925697,0.00925697
55,21337.6,1.20008,2.01273,1.33431,0.67029,0.64256,0.68316,0.41898,1.36338,1.92932,1.31761,0.00922942,0.00922942,0.00922942
56,21726.2,1.19694,2.02922,1.33649,0.63607,0.64854,0.67891,0.40594,1.40257,2.05352,1.36133,0.00920142,0.00920142,0.00920142
57,22115.6,1.20221,2.06257,1.32607,0.64571,0.71854,0.69786,0.41563,1.36576,2.01449,1.29921,0.00917296,0.00917296,0.00917296
58,22505.2,1.17873,2.00285,1.31569,0.55894,0.66346,0.63801,0.39749,1.37648,1.94333,1.30754,0.00914405,0.00914405,0.00914405
59,22896.3,1.18385,1.98358,1.33206,0.6055,0.64293,0.65983,0.41206,1.3423,1.9557,1.29523,0.00911469,0.00911469,0.00911469
60,23290.3,1.18185,2.0523,1.32007,0.64597,0.65369,0.66617,0.40218,1.35834,1.884,1.32412,0.00908488,0.00908488,0.00908488
61,23679,1.17234,1.97351,1.30602,0.69099,0.61013,0.65094,0.40077,1.35279,1.96827,1.31757,0.00905463,0.00905463,0.00905463
62,24068.6,1.19468,2.00811,1.31486,0.66882,0.6967,0.69251,0.41762,1.33373,1.85442,1.27275,0.00902395,0.00902395,0.00902395
63,24459.6,1.15217,1.93196,1.29623,0.61313,0.71582,0.68217,0.41533,1.37477,1.91778,1.31401,0.00899282,0.00899282,0.00899282
64,24850.4,1.1531,1.93643,1.30241,0.60024,0.66643,0.66644,0.42696,1.3372,1.91852,1.28522,0.00896127,0.00896127,0.00896127
65,25240.7,1.1693,1.9792,1.3053,0.62188,0.72385,0.68608,0.4168,1.39894,1.95259,1.33642,0.00892928,0.00892928,0.00892928
66,25631.3,1.1523,1.93757,1.29893,0.67444,0.67672,0.7073,0.4136,1.38192,1.94909,1.28562,0.00889687,0.00889687,0.00889687
67,26022.5,1.16296,1.95704,1.297,0.6604,0.69172,0.71778,0.42806,1.30221,1.80671,1.25279,0.00886404,0.00886404,0.00886404
68,26410.3,1.13031,1.87941,1.27834,0.62041,0.71196,0.69923,0.43113,1.32832,1.85916,1.25754,0.00883079,0.00883079,0.00883079
69,26799.1,1.16914,1.93454,1.30272,0.66752,0.69853,0.71071,0.4322,1.36607,1.90538,1.31065,0.00879713,0.00879713,0.00879713
70,27189.7,1.15435,1.91521,1.29249,0.61268,0.65283,0.64839,0.40277,1.33955,1.87415,1.27515,0.00876305,0.00876305,0.00876305
71,27578.4,1.14799,1.91757,1.28178,0.75764,0.57555,0.70788,0.42513,1.36001,1.92235,1.27021,0.00872857,0.00872857,0.00872857
72,27971,1.13469,1.87354,1.28098,0.73357,0.67598,0.72691,0.45329,1.30104,1.78029,1.22612,0.00869368,0.00869368,0.00869368
73,28360.2,1.12692,1.85872,1.27907,0.70248,0.67021,0.72039,0.43846,1.31099,1.83625,1.23983,0.00865839,0.00865839,0.00865839
74,28760.3,1.16197,1.92663,1.28961,0.5633,0.63775,0.6195,0.39988,1.42761,2.04359,1.30124,0.00862271,0.00862271,0.00862271
75,29162.6,1.15285,1.94378,1.28717,0.80051,0.65087,0.67446,0.41011,1.36399,1.89686,1.24949,0.00858664,0.00858664,0.00858664
76,29561.3,1.13224,1.85959,1.27717,0.67445,0.67775,0.71528,0.43612,1.36284,1.85689,1.27438,0.00855018,0.00855018,0.00855018
77,29962.3,1.11806,1.87191,1.28558,0.62038,0.65495,0.66331,0.41078,1.38476,1.92399,1.27127,0.00851333,0.00851333,0.00851333
78,30361.1,1.10896,1.82508,1.26189,0.66797,0.7689,0.74415,0.4424,1.29543,1.78321,1.23432,0.00847611,0.00847611,0.00847611
79,30758.5,1.10032,1.83535,1.26124,0.6816,0.65898,0.69266,0.42368,1.32069,1.84967,1.21366,0.00843851,0.00843851,0.00843851
80,31157.9,1.12084,1.8373,1.27428,0.62901,0.69311,0.68661,0.41827,1.30687,1.80167,1.23974,0.00840054,0.00840054,0.00840054
81,31558.8,1.13513,1.83275,1.26792,0.64008,0.7377,0.71552,0.443,1.2913,1.82714,1.22064,0.0083622,0.0083622,0.0083622
82,31959.2,1.09985,1.81876,1.26623,0.67287,0.66358,0.68017,0.41401,1.39362,1.8214,1.30335,0.00832349,0.00832349,0.00832349
83,32357,1.09678,1.80137,1.26322,0.70957,0.72369,0.73054,0.44375,1.30993,1.82541,1.25389,0.00828443,0.00828443,0.00828443
84,32754.4,1.09613,1.825,1.25808,0.64041,0.70061,0.69136,0.44057,1.28199,1.82815,1.22358,0.00824502,0.00824502,0.00824502
85,33151.1,1.10706,1.79725,1.25696,0.67722,0.70791,0.69477,0.4257,1.30078,1.79156,1.24607,0.00820525,0.00820525,0.00820525
